Comment,Count
daki bhai challenge you namaz ibadat zikar for harsha haragri,2
ducky brother i like this very much that you are taking this driver along with you and making him have fun and also feeding him,2
who feels proud to being a part of prophet muhammad saw,2
first time seeing muneeb and ducky conversation calmly,2
lets vote for saying yes to his brother for hours,2
lets vote for min vlogs daily,2
alhmdulilah proud to be muslim,2
ducky bhai is literally the kind of youtuber who even if make a video mins long ill still watch the full video without getting bored,2
who is proud to be part of ummat e muhammad saw stay happy,2
huge props to the set designers everything was spot on,2
lets vote for minutes vlog,2
vote for marriage prank on aroob,2
lets vote for tikka boti,2
whos proud to be muslim,2
he never falis to entertain us,2
who proud to be ummat of muhammad saw,2
proud to be a part of ummat e muslima,2
this man bring smile on face love you,1
lets vote for giving respect to muneeb for life time,1
the legendary place,1
advanced congratulation to you ducky bhai for millions subscribers i love you ducky bhai,1
advance million cogress ducky bhi allah lambi zindgi atta farmae,1
who is proud to be umatt of pbuh,1
mashallah allah qurbani qabool farmaye,1
we want min vlogs,1
congratulations ducky bhai for million and also eid mubarak may allah bless you,1
give respect to muneeb for hours,1
lets vote for reacting to childhood videos part we want it soon,1
loved to see k in janwaro ko itny km dino mein apny ghar ka pata chal gaya ha,1
aslam o alkum congratulations for your million subscribers eid mubarak may allah almighty always bless you and your family,1
ducky bhai million subscribers advance gongratulations,1
soon ducky bhai will reach million in sha allah lots of love bhai wish u more success and happiness in ur life brother,1
massallah love from bangladesh,1
best part is that u do bargenning whenever u go to market may all bless your sacrifices ameen and you took all animals on reasonable price,1
congratulations for m subscriber ducky bhai,1
ducky bhai is legend in bargaining,1
finally ducky bhai channel will reach million subscribers happy for you bro and your hardwork pays off best content ever on youtube,1
advance eid ul adha mubarak,1
you got a brilliant mind not everyone will understand your idea of running after ducks and other animals these days,1
million mubaraak ducky bhai duckybhai,1
eid mubarak to everyone and congratulations ducky bhai for reaching m,1
congratulations for msubs,1
congratulations on million subscribers and eid mubarak to all muslim,1
my year baby watch your vlog and say duck ao she enjoyed very much,1
m m soon inshallah,1
congrats ducky for milliom subscribers may allah give you more xd,1
the day is incompleate without your vloge ducky bahi,1
allah qurabani kabool kre,1
duckys first bargaining from k to k,1
